Timestamp,Latitude,Longitude,Altitude,Ground Speed,Vertical Speed,Heading,Roll,Pitch,Yaw,Battery Voltage,Battery Current,Battery Remaining,RSSI,Ping,Data Loss,GPS Fix Type,GPS Satellites,System Status,Flight Mode
0.215,41.264283,28.7009775,103.32999420166016,0.23643146455287933,,104,-0.5267543807142855,-0.584130210898214,,0.002,56.08,69,,,,,,,
0.296,41.2642834,28.7009768,103.32999420166016,0.22403188049793243,,105,-0.38642587638012565,0.49618624260986366,,0.002,56.08,69,,,,,,,
0.356,41.2642834,28.7009768,103.31999969482422,0.19688136875629425,,105,-0.24355699524197066,0.41440401208736394,,0.002,56.08,69,,,,,,,
0.650,41.2642834,28.7009768,103.31999969482422,0.19688136875629425,,105,-0.24355699524197066,0.41440401208736394,,0.002,56.08,69,,,,,,,
0.651,41.2642834,28.7009768,103.31999969482422,0.19688136875629425,,105,-0.24355699524197066,0.41440401208736394,,0.002,56.08,69,,,,,,,
0.828,41.2642841,28.7009764,101.2699966430664,0.18912160396575928,,105,0.6031134410357951,-0.09856971492448034,,0.002,56.08,69,,,,,,,
0.949,41.2642841,28.7009764,101.20999908447266,0.1663939654827118,,105,-0.4985701387127568,0.37026722294903575,,0.002,56.08,69,,,,,,,
1.242,41.2642841,28.7009764,101.20999908447266,0.1663939654827118,,105,-0.4985701387127568,0.37026722294903575,,0.0,56.08,69,,,,,,,
1.404,41.2642845,28.7009761,101.13999938964844,0.174708753824234,,105,-0.3705410975264974,-0.16747965354329766,,0.0,56.08,69,,,,,,,
1.405,41.2642845,28.7009761,101.13999938964844,0.16963014006614685,,106,0.39637794224851025,0.7075149635727027,,0.0,56.08,69,,,,,,,
1.651,41.2642845,28.7009761,101.13999938964844,0.16963014006614685,,106,0.39637794224851025,0.7075149635727027,,0.0,56.08,69,,,,,,,
1.803,41.2642845,28.700976,101.1500015258789,0.17284217476844788,,107,1.9147831293276025,4.158839433257764,,0.0,56.08,69,,,,,,,
1.867,41.2642845,28.700976,101.1500015258789,0.19344475865364075,,107,1.922376165250541,4.003505990492865,,0.0,56.08,69,,,,,,,
2.142,41.2642845,28.700976,101.1500015258789,0.19344475865364075,,107,1.922376165250541,4.003505990492865,,0.002,56.08,68,,,,,,,
2.320,41.2642843,28.7009758,101.15999603271484,0.1267174333333969,,105,1.3759483317665329,-0.029007173074809465,,0.002,56.08,68,,,,,,,
2.446,41.2642843,28.7009758,101.15999603271484,0.17407193779945374,,104,1.0671490760879097,-1.8073244034460265,,0.002,56.08,68,,,,,,,
2.669,41.2642843,28.7009758,101.15999603271484,0.17407193779945374,,104,1.0671490760879097,-1.8073244034460265,,0.002,56.08,68,,,,,,,
2.739,41.2642843,28.7009758,101.15999603271484,0.17407193779945374,,104,1.0671490760879097,-1.8073244034460265,,0.001,56.08,68,,,,,,,
2.918,41.2642848,28.7009757,101.19999694824219,0.15324778854846954,,105,1.015450840651554,1.787976611961496,,0.001,56.08,68,,,,,,,
2.918,41.2642848,28.7009757,101.20999908447266,0.14120295643806458,,105,0.6675308227280365,3.8530070409998656,,0.001,56.08,68,,,,,,,
3.191,41.2642848,28.7009757,101.20999908447266,0.14120295643806458,,105,0.6675308227280365,3.8530070409998656,,0.004,56.08,68,,,,,,,
3.371,41.2642848,28.7009759,101.22000122070312,0.13331668078899384,,105,1.5271159994679593,3.329076463259704,,0.004,56.08,68,,,,,,,
3.372,41.2642848,28.7009759,101.22999572753906,0.11797352135181427,,105,1.1136671466473391,3.42247673883869,,0.004,56.08,68,,,,,,,
3.578,41.2642848,28.7009759,101.22999572753906,0.11797352135181427,,105,1.1136671466473391,3.42247673883869,,0.004,56.08,68,,,,,,,
3.901,41.2642848,28.7009759,101.22999572753906,0.11797352135181427,,105,1.1136671466473391,3.42247673883869,,0.003,56.08,67,,,,,,,
3.908,41.2642846,28.7009762,101.23999786376953,0.10486328601837158,,104,1.1428290661955318,3.006137008451862,,0.003,56.08,67,,,,,,,
3.909,41.2642846,28.7009762,101.23999786376953,0.09676484763622284,,103,1.6144907675385243,2.5603013195777455,,0.003,56.08,67,,,,,,,
4.342,41.2642846,28.7009762,101.23999786376953,0.09676484763622284,,103,1.6144907675385243,2.5603013195777455,,0.0,56.08,67,,,,,,,
4.345,41.2642851,28.7009762,101.22999572753906,0.07967422902584076,,103,2.022138121711159,2.6901417215958072,,0.0,56.08,67,,,,,,,
4.417,41.2642851,28.7009762,101.22999572753906,0.08305596560239792,,103,1.7122739968522482,2.6256399763951452,,0.0,56.08,67,,,,,,,
4.806,41.2642851,28.7009762,101.22999572753906,0.08305596560239792,,103,1.7122739968522482,2.6256399763951452,,0.0,56.08,67,,,,,,,
4.806,41.2642851,28.7009762,101.22999572753906,0.08305596560239792,,103,1.7122739968522482,2.6256399763951452,,0.001,56.08,67,,,,,,,
4.810,41.2642851,28.7009765,101.22999572753906,0.0732143372297287,,104,0.8242603454871159,1.209971853449167,,0.001,56.08,67,,,,,,,
4.869,41.2642851,28.7009765,101.22000122070312,0.06753779947757721,,104,0.5113840538433767,1.1500644776823967,,0.001,56.08,67,,,,,,,
5.362,41.2642846,28.7009772,101.20999908447266,0.06720118969678879,,104,0.724821702434163,1.2137207735298576,,0.001,56.08,67,,,,,,,
5.451,41.2642846,28.7009772,101.22000122070312,0.060819514095783234,,104,1.0325269539068207,0.8232956346277045,,0.001,56.08,67,,,,,,,
5.675,41.2642846,28.7009772,101.22000122070312,0.060819514095783234,,104,1.0325269539068207,0.8232956346277045,,0.001,56.08,67,,,,,,,
